Constant,Value
GL_BUFFER_MAP_LENGTH,37152
GL_BUFFER_MAP_OFFSET,37153
GL_BUFFER_MAP_POINTER,35005
GL_BUFFER_SIZE,34660
GL_BUFFER_STORAGE_FLAGS,33312
GL_BUFFER_UPDATE_BARRIER_BIT,512
GL_BUFFER_USAGE,34661
GL_BUFFER_VARIABLE,37605
GL_BYTE,5120
GL_C3F_V3F,10788
GL_C4F_N3F_V3F,10790
GL_C4UB_V2F,10786
GL_C4UB_V3F,10787
GL_CAVEAT_SUPPORT,33464
GL_CCW,2305
GL_CLAMP,10496
GL_CLAMP_READ_COLOR,35100
GL_CLAMP_TO_BORDER,33069
GL_CLAMP_TO_EDGE,33071
GL_CLEAR,5376
GL_CLEAR_BUFFER,33460
GL_CLEAR_TEXTURE,37733
GL_CLIENT_ATTRIB_STACK_DEPTH,2993
GL_CLIENT_MAPPED_BUFFER_BARRIER_BIT,16384
GL_CLIENT_PIXEL_STORE_BIT,1
GL_CLIENT_STORAGE_BIT,512
GL_CLIENT_VERTEX_ARRAY_BIT,2
GL_CLIPPING_INPUT_PRIMITIVES_ARB,33526
GL_CLIPPING_OUTPUT_PRIMITIVES_ARB,33527
GL_CLIP_DEPTH_MODE,37725
GL_CLIP_DISTANCE0,12288
GL_CLIP_DISTANCE1,12289
GL_CLIP_DISTANCE2,12290
GL_CLIP_DISTANCE3,12291
GL_CLIP_DISTANCE4,12292
GL_CLIP_DISTANCE5,12293
GL_CLIP_DISTANCE6,12294
GL_CLIP_DISTANCE7,12295
GL_CLIP_ORIGIN,37724
GL_CLIP_PLANE0,12288
GL_CLIP_PLANE1,12289
GL_CLIP_PLANE2,12290
GL_CLIP_PLANE3,12291
GL_CLIP_PLANE4,12292
GL_CLIP_PLANE5,12293
GL_COEFF,2560
GL_COLOR,6144
GL_COLOR_ARRAY,32886
GL_COLOR_ARRAY_COUNT_EXT,32900
GL_COLOR_ARRAY_EXT,32886
GL_COLOR_ARRAY_POINTER,32912
GL_COLOR_ARRAY_POINTER_EXT,32912
GL_COLOR_ARRAY_SIZE,32897
GL_COLOR_ARRAY_SIZE_EXT,32897
GL_COLOR_ARRAY_STRIDE,32899
GL_COLOR_ARRAY_STRIDE_EXT,32899
GL_COLOR_ARRAY_TYPE,32898
GL_COLOR_ARRAY_TYPE_EXT,32898
GL_COLOR_ATTACHMENT0,36064
GL_COLOR_ATTACHMENT1,36065
GL_COLOR_ATTACHMENT10,36074
GL_COLOR_ATTACHMENT11,36075
GL_COLOR_ATTACHMENT12,36076
GL_COLOR_ATTACHMENT13,36077
GL_COLOR_ATTACHMENT14,36078
GL_COLOR_ATTACHMENT15,36079
GL_COLOR_ATTACHMENT16,36080
GL_COLOR_ATTACHMENT17,36081
GL_COLOR_ATTACHMENT18,36082
GL_COLOR_ATTACHMENT19,36083
GL_COLOR_ATTACHMENT2,36066
GL_COLOR_ATTACHMENT20,36084
GL_COLOR_ATTACHMENT21,36085
GL_COLOR_ATTACHMENT22,36086
GL_COLOR_ATTACHMENT23,36087
GL_COLOR_ATTACHMENT24,36088
GL_COLOR_ATTACHMENT25,36089
GL_COLOR_ATTACHMENT26,36090
GL_COLOR_ATTACHMENT27,36091
GL_COLOR_ATTACHMENT28,36092
GL_COLOR_ATTACHMENT29,36093
GL_COLOR_ATTACHMENT3,36067
GL_COLOR_ATTACHMENT30,36094
GL_COLOR_ATTACHMENT31,36095
GL_COLOR_ATTACHMENT4,36068
GL_COLOR_ATTACHMENT5,36069
GL_COLOR_ATTACHMENT6,36070
GL_COLOR_ATTACHMENT7,36071
GL_COLOR_ATTACHMENT8,36072
GL_COLOR_ATTACHMENT9,36073
GL_COLOR_BUFFER_BIT,16384
GL_COLOR_CLEAR_VALUE,3106
GL_COLOR_COMPONENTS,33411
GL_COLOR_ENCODING,33430
GL_COLOR_INDEX,6400
GL_COLOR_INDEX12_EXT,32998
GL_COLOR_INDEX16_EXT,32999
GL_COLOR_INDEX1_EXT,32994
GL_COLOR_INDEX2_EXT,32995
GL_COLOR_INDEX4_EXT,32996
GL_COLOR_INDEX8_EXT,32997
GL_COLOR_INDEXES,5635
GL_COLOR_LOGIC_OP,3058
GL_COLOR_MATERIAL,2903
GL_COLOR_MATERIAL_FACE,2901
GL_COLOR_MATERIAL_PARAMETER,2902
GL_COLOR_RENDERABLE,33414
GL_COLOR_TABLE_ALPHA_SIZE_EXT,32989
GL_COLOR_TABLE_BLUE_SIZE_EXT,32988
GL_COLOR_TABLE_FORMAT_EXT,32984
GL_COLOR_TABLE_GREEN_SIZE_EXT,32987
GL_COLOR_TABLE_INTENSITY_SIZE_EXT,32991
GL_COLOR_TABLE_LUMINANCE_SIZE_EXT,32990
GL_COLOR_TABLE_RED_SIZE_EXT,32986
GL_COLOR_TABLE_WIDTH_EXT,32985
GL_COLOR_WRITEMASK,3107
GL_COMMAND_BARRIER_BIT,64
GL_COMPARE_REF_TO_TEXTURE,34894
GL_COMPATIBLE_SUBROUTINES,36427
GL_COMPILE,4864
GL_COMPILE_AND_EXECUTE,4865
GL_COMPILE_STATUS,35713
GL_COMPRESSED_R11_EAC,37488
GL_COMPRESSED_RED,33317
GL_COMPRESSED_RED_RGTC1,36283
GL_COMPRESSED_RG,33318
GL_COMPRESSED_RG11_EAC,37490
GL_COMPRESSED_RGB,34029
GL_COMPRESSED_RGB8_ETC2,37492
GL_COMPRESSED_RGB8_PUNCHTHROUGH_ALPHA1_ETC2,37494
GL_COMPRESSED_RGBA,34030
GL_COMPRESSED_RGBA8_ETC2_EAC,37496
GL_COMPRESSED_RGBA_BPTC_UNORM,36492
GL_COMPRESSED_RGBA_BPTC_UNORM_ARB,36492
GL_COMPRESSED_RGB_BPTC_SIGNED_FLOAT,36494
GL_COMPRESSED_RGB_BPTC_SIGNED_FLOAT_ARB,36494
GL_COMPRESSED_RGB_BPTC_UNSIGNED_FLOAT,36495
GL_COMPRESSED_RGB_BPTC_UNSIGNED_FLOAT_ARB,36495
GL_COMPRESSED_RG_RGTC2,36285
GL_COMPRESSED_SIGNED_R11_EAC,37489
GL_COMPRESSED_SIGNED_RED_RGTC1,36284
GL_COMPRESSED_SIGNED_RG11_EAC,37491
GL_COMPRESSED_SIGNED_RG_RGTC2,36286
GL_COMPRESSED_SRGB,35912
GL_COMPRESSED_SRGB8_ALPHA8_ETC2_EAC,37497
GL_COMPRESSED_SRGB8_ETC2,37493
GL_COMPRESSED_SRGB8_PUNCHTHROUGH_ALPHA1_ETC2,37495
GL_COMPRESSED_SRGB_ALPHA,35913
GL_COMPRESSED_SRGB_ALPHA_BPTC_UNORM,36493
GL_COMPRESSED_SRGB_ALPHA_BPTC_UNORM_ARB,36493
GL_COMPRESSED_TEXTURE_FORMATS,34467
GL_COMPUTE_SHADER,37305
GL_COMPUTE_SHADER_BIT,32
GL_COMPUTE_SHADER_INVOCATIONS_ARB,33525
GL_COMPUTE_SUBROUTINE,37613
GL_COMPUTE_SUBROUTINE_UNIFORM,37619
GL_COMPUTE_TEXTURE,33440
GL_COMPUTE_WORK_GROUP_SIZE,33383
GL_CONDITION_SATISFIED,37148
GL_CONSTANT_ALPHA,32771
GL_CONSTANT_ATTENUATION,4615
GL_CONSTANT_COLOR,32769
GL_CONTEXT_COMPATIBILITY_PROFILE_BIT,2
GL_CONTEXT_CORE_PROFILE_BIT,1
GL_CONTEXT_FLAGS,33310
GL_CONTEXT_FLAG_DEBUG_BIT,2
GL_CONTEXT_FLAG_FORWARD_COMPATIBLE_BIT,1
GL_CONTEXT_FLAG_NO_ERROR_BIT_KHR,8
GL_CONTEXT_FLAG_ROBUST_ACCESS_BIT,4
GL_CONTEXT_FLAG_ROBUST_ACCESS_BIT_ARB,4
GL_CONTEXT_LOST,1287
GL_CONTEXT_PROFILE_MASK,37158
GL_CONTEXT_RELEASE_BEHAVIOR,33531
GL_CONTEXT_RELEASE_BEHAVIOR_FLUSH,33532
GL_CONTEXT_ROBUST_ACCESS,37107
GL_COPY,5379
GL_COPY_INVERTED,5388
GL_COPY_PIXEL_TOKEN,1798
GL_COPY_READ_BUFFER,36662
GL_COPY_READ_BUFFER_BINDING,36662
GL_COPY_WRITE_BUFFER,36663
GL_COPY_WRITE_BUFFER_BINDING,36663
GL_CULL_FACE,2884
GL_CULL_FACE_MODE,2885
GL_CURRENT_BIT,1
GL_CURRENT_COLOR,2816
GL_CURRENT_INDEX,2817
GL_CURRENT_NORMAL,2818
GL_CURRENT_PROGRAM,35725
GL_CURRENT_QUERY,34917
GL_CURRENT_RASTER_COLOR,2820
GL_CURRENT_RASTER_DISTANCE,2825
GL_CURRENT_RASTER_INDEX,2821
GL_CURRENT_RASTER_POSITION,2823
GL_CURRENT_RASTER_POSITION_VALID,2824
GL_CURRENT_RASTER_TEXTURE_COORDS,2822
GL_CURRENT_TEXTURE_COORDS,2819
GL_CURRENT_VERTEX_ATTRIB,34342
GL_CW,2304
GL_DEBUG_CALLBACK_FUNCTION,33348
GL_DEBUG_CALLBACK_FUNCTION_ARB,33348
GL_DEBUG_CALLBACK_USER_PARAM,33349
GL_DEBUG_CALLBACK_USER_PARAM_ARB,33349
GL_DEBUG_GROUP_STACK_DEPTH,33389
GL_DEBUG_LOGGED_MESSAGES,37189
GL_DEBUG_LOGGED_MESSAGES_ARB,37189
GL_DEBUG_NEXT_LOGGED_MESSAGE_LENGTH,33347
GL_DEBUG_NEXT_LOGGED_MESSAGE_LENGTH_ARB,33347
GL_DEBUG_OUTPUT,37600
GL_DEBUG_OUTPUT_SYNCHRONOUS,33346
GL_DEBUG_OUTPUT_SYNCHRONOUS_ARB,33346
GL_DEBUG_SEVERITY_HIGH,37190
GL_DEBUG_SEVERITY_HIGH_ARB,37190
GL_DEBUG_SEVERITY_LOW,37192
GL_DEBUG_SEVERITY_LOW_ARB,37192
GL_DEBUG_SEVERITY_MEDIUM,37191
GL_DEBUG_SEVERITY_MEDIUM_ARB,37191
GL_DEBUG_SEVERITY_NOTIFICATION,33387
GL_DEBUG_SOURCE_API,33350
GL_DEBUG_SOURCE_API_ARB,33350
GL_DEBUG_SOURCE_APPLICATION,33354
GL_DEBUG_SOURCE_APPLICATION_ARB,33354
GL_DEBUG_SOURCE_OTHER,33355
GL_DEBUG_SOURCE_OTHER_ARB,33355
GL_DEBUG_SOURCE_SHADER_COMPILER,33352
GL_DEBUG_SOURCE_SHADER_COMPILER_ARB,33352
GL_DEBUG_SOURCE_THIRD_PARTY,33353
GL_DEBUG_SOURCE_THIRD_PARTY_ARB,33353
GL_DEBUG_SOURCE_WINDOW_SYSTEM,33351
GL_DEBUG_SOURCE_WINDOW_SYSTEM_ARB,33351
GL_DEBUG_TYPE_DEPRECATED_BEHAVIOR,33357
GL_DEBUG_TYPE_DEPRECATED_BEHAVIOR_ARB,33357
GL_DEBUG_TYPE_ERROR,33356
GL_DEBUG_TYPE_ERROR_ARB,33356
GL_DEBUG_TYPE_MARKER,33384
GL_DEBUG_TYPE_OTHER,33361
GL_DEBUG_TYPE_OTHER_ARB,33361
GL_DEBUG_TYPE_PERFORMANCE,33360
GL_DEBUG_TYPE_PERFORMANCE_ARB,33360
GL_DEBUG_TYPE_POP_GROUP,33386
GL_DEBUG_TYPE_PORTABILITY,33359
GL_DEBUG_TYPE_PORTABILITY_ARB,33359
GL_DEBUG_TYPE_PUSH_GROUP,33385
GL_DEBUG_TYPE_UNDEFINED_BEHAVIOR,33358
GL_DEBUG_TYPE_UNDEFINED_BEHAVIOR_ARB,33358
GL_DECAL,8449
GL_DECR,7683
GL_DECR_WRAP,34056
GL_DELETE_STATUS,35712
GL_DEPTH,6145
GL_DEPTH24_STENCIL8,35056
GL_DEPTH32F_STENCIL8,36013
GL_DEPTH_ATTACHMENT,36096
GL_DEPTH_BIAS,3359
GL_DEPTH_BITS,3414
GL_DEPTH_BUFFER_BIT,256
GL_DEPTH_CLAMP,34383
GL_DEPTH_CLEAR_VALUE,2931
GL_DEPTH_COMPONENT,6402
GL_DEPTH_COMPONENT16,33189
GL_DEPTH_COMPONENT24,33190
GL_DEPTH_COMPONENT32,33191
GL_DEPTH_COMPONENT32F,36012
GL_DEPTH_COMPONENTS,33412
GL_DEPTH_FUNC,2932
GL_DEPTH_RANGE,2928
GL_DEPTH_RENDERABLE,33415
GL_DEPTH_SCALE,3358
GL_DEPTH_STENCIL,34041
GL_DEPTH_STENCIL_ATTACHMENT,33306
GL_DEPTH_STENCIL_TEXTURE_MODE,37098
GL_DEPTH_TEST,2929
GL_DEPTH_WRITEMASK,2930
GL_DIFFUSE,4609
GL_DISPATCH_INDIRECT_BUFFER,37102
GL_DISPATCH_INDIRECT_BUFFER_BINDING,37103
GL_DITHER,3024
GL_DOMAIN,2562
GL_DONT_CARE,4352
GL_DOUBLE,5130
GL_DOUBLEBUFFER,3122
GL_DOUBLE_MAT2,36678
GL_DOUBLE_MAT3,36679
GL_DOUBLE_MAT4,36680
GL_DOUBLE_VEC2,36860
GL_DOUBLE_VEC3,36861
GL_DOUBLE_VEC4,36862
GL_DRAW_BUFFER,3073
GL_DRAW_BUFFER0,34853
GL_DRAW_BUFFER1,34854
GL_DRAW_BUFFER10,34863
GL_DRAW_BUFFER11,34864
GL_DRAW_BUFFER12,34865
GL_DRAW_BUFFER13,34866
GL_DRAW_BUFFER14,34867
GL_DRAW_BUFFER15,34868
GL_DRAW_BUFFER2,34855
GL_DRAW_BUFFER3,34856
GL_DRAW_BUFFER4,34857
GL_DRAW_BUFFER5,34858
GL_DRAW_BUFFER6,34859
GL_DRAW_BUFFER7,34860
GL_DRAW_BUFFER8,34861
GL_DRAW_BUFFER9,34862
GL_DRAW_FRAMEBUFFER,36009
GL_DRAW_FRAMEBUFFER_BINDING,36006
GL_DRAW_INDIRECT_BUFFER,36671
GL_DRAW_INDIRECT_BUFFER_BINDING,36675
GL_DRAW_PIXEL_TOKEN,1797
GL_DST_ALPHA,772
GL_DST_COLOR,774
GL_DYNAMIC_COPY,35050
GL_DYNAMIC_DRAW,35048
GL_DYNAMIC_READ,35049
GL_DYNAMIC_STORAGE_BIT,256
GL_EDGE_FLAG,2883
GL_EDGE_FLAG_ARRAY,32889
GL_EDGE_FLAG_ARRAY_COUNT_EXT,32909
GL_EDGE_FLAG_ARRAY_EXT,32889
GL_EDGE_FLAG_ARRAY_POINTER,32915
GL_EDGE_FLAG_ARRAY_POINTER_EXT,32915
GL_EDGE_FLAG_ARRAY_STRIDE,32908
GL_EDGE_FLAG_ARRAY_STRIDE_EXT,32908
GL_ELEMENT_ARRAY_BARRIER_BIT,2
GL_ELEMENT_ARRAY_BUFFER,34963
GL_ELEMENT_ARRAY_BUFFER_BINDING,34965
GL_EMISSION,5632
GL_ENABLE_BIT,8192
GL_EQUAL,514
GL_EQUIV,5385
GL_EVAL_BIT,65536
GL_EXP,2048
GL_EXP2,2049
GL_EXTENSIONS,7939
GL_EYE_LINEAR,9216
GL_EYE_PLANE,9474
GL_FALSE,0
GL_FASTEST,4353
GL_FEEDBACK,7169
GL_FEEDBACK_BUFFER_POINTER,3568
GL_FEEDBACK_BUFFER_SIZE,3569
GL_FEEDBACK_BUFFER_TYPE,3570
GL_FILL,6914
GL_FILTER,33434
GL_FIRST_VERTEX_CONVENTION,36429
GL_FIXED,5132
GL_FIXED_ONLY,35101
GL_FLAT,7424
GL_FLOAT,5126
GL_FLOAT_32_UNSIGNED_INT_24_8_REV,36269
GL_FLOAT_MAT2,35674
GL_FLOAT_MAT3,35675
GL_FLOAT_MAT4,35676
GL_FLOAT_VEC2,35664
GL_FLOAT_VEC3,35665
GL_FLOAT_VEC4,35666
GL_FOG,2912
GL_FOG_BIT,128
GL_FOG_COLOR,2918
GL_FOG_DENSITY,2914
GL_FOG_END,2916
GL_FOG_HINT,3156
GL_FOG_INDEX,2913
GL_FOG_MODE,2917
GL_FOG_SPECULAR_TEXTURE_WIN,33004
GL_FOG_START,2915
GL_FRACTIONAL_EVEN,36476
GL_FRACTIONAL_ODD,36475
GL_FRAGMENT_INTERPOLATION_OFFSET_BITS,36445
GL_FRAGMENT_SHADER,35632
GL_FRAGMENT_SHADER_BIT,2
GL_FRAGMENT_SHADER_DERIVATIVE_HINT,35723
GL_FRAGMENT_SHADER_INVOCATIONS_ARB,33524
GL_FRAGMENT_SUBROUTINE,37612
GL_FRAGMENT_SUBROUTINE_UNIFORM,37618
GL_FRAGMENT_TEXTURE,33439
GL_FRAMEBUFFER,36160
GL_FRAMEBUFFER_ATTACHMENT_ALPHA_SIZE,33301
GL_FRAMEBUFFER_ATTACHMENT_BLUE_SIZE,33300
GL_FRAMEBUFFER_ATTACHMENT_COLOR_ENCODING,33296
GL_FRAMEBUFFER_ATTACHMENT_COMPONENT_TYPE,33297
GL_FRAMEBUFFER_ATTACHMENT_DEPTH_SIZE,33302
GL_FRAMEBUFFER_ATTACHMENT_GREEN_SIZE,33299
GL_FRAMEBUFFER_ATTACHMENT_LAYERED,36263
GL_FRAMEBUFFER_ATTACHMENT_OBJECT_NAME,36049
GL_FRAMEBUFFER_ATTACHMENT_OBJECT_TYPE,36048
GL_FRAMEBUFFER_ATTACHMENT_RED_SIZE,33298
GL_FRAMEBUFFER_ATTACHMENT_STENCIL_SIZE,33303
GL_FRAMEBUFFER_ATTACHMENT_TEXTURE_CUBE_MAP_FACE,36051
GL_FRAMEBUFFER_ATTACHMENT_TEXTURE_LAYER,36052
GL_FRAMEBUFFER_ATTACHMENT_TEXTURE_LEVEL,36050
GL_FRAMEBUFFER_BARRIER_BIT,1024
GL_FRAMEBUFFER_BINDING,36006
GL_FRAMEBUFFER_BLEND,33419
GL_FRAMEBUFFER_COMPLETE,36053
GL_FRAMEBUFFER_DEFAULT,33304
GL_FRAMEBUFFER_DEFAULT_FIXED_SAMPLE_LOCATIONS,37652
GL_FRAMEBUFFER_DEFAULT_HEIGHT,37649
GL_FRAMEBUFFER_DEFAULT_LAYERS,37650
GL_FRAMEBUFFER_DEFAULT_SAMPLES,37651
GL_FRAMEBUFFER_DEFAULT_WIDTH,37648
GL_FRAMEBUFFER_INCOMPLETE_ATTACHMENT,36054
GL_FRAMEBUFFER_INCOMPLETE_DRAW_BUFFER,36059
GL_FRAMEBUFFER_INCOMPLETE_LAYER_TARGETS,36264
GL_FRAMEBUFFER_INCOMPLETE_MISSING_ATTACHMENT,36055
GL_FRAMEBUFFER_INCOMPLETE_MULTISAMPLE,36182
GL_FRAMEBUFFER_INCOMPLETE_READ_BUFFER,36060
GL_FRAMEBUFFER_RENDERABLE,33417
GL_FRAMEBUFFER_RENDERABLE_LAYERED,33418
GL_FRAMEBUFFER_SRGB,36281
GL_FRAMEBUFFER_UNDEFINED,33305
GL_FRAMEBUFFER_UNSUPPORTED,36061
GL_FRONT,1028
GL_FRONT_AND_BACK,1032
GL_FRONT_FACE,2886
GL_FRONT_LEFT,1024
GL_FRONT_RIGHT,1025
GL_FULL_SUPPORT,33463
GL_FUNC_ADD,32774
GL_FUNC_REVERSE_SUBTRACT,32779
GL_FUNC_SUBTRACT,32778
GL_GEOMETRY_INPUT_TYPE,35095
GL_GEOMETRY_OUTPUT_TYPE,35096
GL_GEOMETRY_SHADER,36313
GL_GEOMETRY_SHADER_BIT,4
GL_GEOMETRY_SHADER_INVOCATIONS,34943
GL_GEOMETRY_SHADER_PRIMITIVES_EMITTED_ARB,33523
GL_GEOMETRY_SUBROUTINE,37611
GL_GEOMETRY_SUBROUTINE_UNIFORM,37617
GL_GEOMETRY_TEXTURE,33438
GL_GEOMETRY_VERTICES_OUT,35094
GL_GEQUAL,518
GL_GET_TEXTURE_IMAGE_FORMAT,33425
GL_GET_TEXTURE_IMAGE_TYPE,33426
GL_GREATER,516
GL_GREEN,6404
GL_GREEN_BIAS,3353
GL_GREEN_BITS,3411
GL_GREEN_INTEGER,36245
GL_GREEN_SCALE,3352
GL_GUILTY_CONTEXT_RESET,33363
GL_GUILTY_CONTEXT_RESET_ARB,33363
GL_HALF_FLOAT,5131
GL_HIGH_FLOAT,36338
GL_HIGH_INT,36341
GL_HINT_BIT,32768
GL_IMAGE_1D,36940
GL_IMAGE_1D_ARRAY,36946
GL_IMAGE_2D,36941
GL_IMAGE_2D_ARRAY,36947
GL_IMAGE_2D_MULTISAMPLE,36949
GL_IMAGE_2D_MULTISAMPLE_ARRAY,36950
GL_IMAGE_2D_RECT,36943
GL_IMAGE_3D,36942
GL_IMAGE_BINDING_ACCESS,36670
GL_IMAGE_BINDING_FORMAT,36974
GL_IMAGE_BINDING_LAYER,36669
GL_IMAGE_BINDING_LAYERED,36668
GL_IMAGE_BINDING_LEVEL,36667
GL_IMAGE_BINDING_NAME,36666
GL_IMAGE_BUFFER,36945
GL_IMAGE_CLASS_10_10_10_2,33475
GL_IMAGE_CLASS_11_11_10,33474
GL_IMAGE_CLASS_1_X_16,33470
GL_IMAGE_CLASS_1_X_32,33467
GL_IMAGE_CLASS_1_X_8,33473
GL_IMAGE_CLASS_2_X_16,33469
GL_IMAGE_CLASS_2_X_32,33466
GL_IMAGE_CLASS_2_X_8,33472
GL_IMAGE_CLASS_4_X_16,33468
GL_IMAGE_CLASS_4_X_32,33465
GL_IMAGE_CLASS_4_X_8,33471
GL_IMAGE_COMPATIBILITY_CLASS,33448
GL_IMAGE_CUBE,36944
GL_IMAGE_CUBE_MAP_ARRAY,36948
GL_IMAGE_FORMAT_COMPATIBILITY_BY_CLASS,37065
GL_IMAGE_FORMAT_COMPATIBILITY_BY_SIZE,37064
GL_IMAGE_FORMAT_COMPATIBILITY_TYPE,37063
GL_IMAGE_PIXEL_FORMAT,33449
GL_IMAGE_PIXEL_TYPE,33450
GL_IMAGE_TEXEL_SIZE,33447
GL_IMPLEMENTATION_COLOR_READ_FORMAT,35739
GL_IMPLEMENTATION_COLOR_READ_TYPE,35738
GL_INCR,7682
GL_INCR_WRAP,34055
GL_INDEX_ARRAY,32887
GL_INDEX_ARRAY_COUNT_EXT,32903
GL_INDEX_ARRAY_EXT,32887
GL_INDEX_ARRAY_POINTER,32913
GL_INDEX_ARRAY_POINTER_EXT,32913
GL_INDEX_ARRAY_STRIDE,32902
GL_INDEX_ARRAY_STRIDE_EXT,32902
GL_INDEX_ARRAY_TYPE,32901
GL_INDEX_ARRAY_TYPE_EXT,32901
GL_INDEX_BITS,3409
GL_INDEX_CLEAR_VALUE,3104
GL_INDEX_LOGIC_OP,3057
GL_INDEX_MODE,3120
GL_INDEX_OFFSET,3347
GL_INDEX_SHIFT,3346
GL_INDEX_WRITEMASK,3105
GL_INFO_LOG_LENGTH,35716
GL_INNOCENT_CONTEXT_RESET,33364
GL_INNOCENT_CONTEXT_RESET_ARB,33364
GL_INT,5124
GL_INTENSITY,32841
GL_INTENSITY12,32844
